iteration,train_error,test_error
157,6.655051302456806e-15,8.161928653560579e-08
158,9.600633446061897e-15,8.610864043490097e-08
159,9.406238707040676e-15,7.803219684432427e-08
160,9.068454164950102e-15,7.784845515956818e-08
161,5.670690594883083e-15,6.481450482409556e-08
162,5.3519771716535065e-15,7.642101010207903e-08
163,7.063578678402366e-15,6.553975414236302e-08
164,5.2033506720910465e-15,6.793048933184664e-08
165,6.1692338614932076e-15,6.950093422641857e-08
166,5.260982793822229e-15,6.766497173837927e-08
167,5.397164005050293e-15,6.144561133147875e-08
168,3.4062557529896016e-15,6.141819506066959e-08
169,4.104700147757479e-15,6.538472973272035e-08
170,4.086882642952374e-15,6.179931150285256e-08
171,3.377598934318094e-15,5.936726729860453e-08
172,6.158657469300612e-15,5.935569226034332e-08
173,4.654528884984622e-15,6.902154109722502e-08
174,5.317411448494975e-15,6.507302247049651e-08
175,5.9146320179341745e-15,7.308631541302902e-08
176,3.9092022356727336e-15,6.289465570619157e-08
177,5.964284414322842e-15,6.322797965285786e-08
178,5.2411337599024725e-15,5.665088719131184e-08
179,5.461869190704228e-15,5.8081263222486965e-08
180,4.784023281960859e-15,5.56236290001344e-08
181,4.3713325670259765e-15,9.119042583405346e-08
182,5.828818771234662e-15,6.24081792175435e-08
183,4.258273322378882e-15,6.747128065054398e-08
184,4.490563637833901e-15,6.192049175890446e-08
185,4.1521529663417385e-15,5.973870311404283e-08
186,7.207868371921863e-15,7.57041573198336e-08
187,4.768147854297218e-15,5.2927577351868925e-08
188,3.573286587076981e-15,6.738135161254988e-08
189,8.538446001335688e-15,5.311016118814127e-08
190,4.962946458627689e-15,7.490025095036045e-08
191,5.476524896217779e-15,4.9569602617483e-08
192,7.482553702826496e-15,7.535637096189874e-08
193,1.6580060248187495e-14,5.478733742347863e-08
194,4.939398942694019e-15,5.104777600184462e-08
195,6.526413425196832e-15,7.586723661479055e-08
196,4.420598713743718e-15,4.876913362339419e-08
197,3.70176861027466e-15,5.5431480029510816e-08
198,1.4867847522463897e-14,1.269598925448534e-07
199,7.949381187626103e-14,1.190373724186955e-07
