iteration,train_error,test_error
56,3.894793564541032e-05,0.0061295077307149766
57,3.2733973603171763e-05,0.005639089960139245
58,2.8594007108040387e-05,0.005385162064339965
59,2.5972557614295512e-05,0.004878507791552693
60,2.1719000087614405e-05,0.0046442549002822485
61,2.0001570378553877e-05,0.004340783457504585
62,1.581309501943906e-05,0.004163562123081646
63,1.4830757136223838e-05,0.003738610670203343
64,1.2944363668339065e-05,0.0035468265942763537
65,1.073760602821494e-05,0.0032119584425818175
66,9.306884294346673e-06,0.002973130994127132
67,8.148689421432209e-06,0.0027742417919216678
68,6.497457123941786e-06,0.0025171228221151976
69,6.008481117305564e-06,0.0023520716438652015
70,4.981903436060975e-06,0.002168175418395549
71,4.352325838112847e-06,0.0019607496375683695
72,3.422178185417124e-06,0.0018549023639061488
73,3.052433915797792e-06,0.0017195240907021798
74,2.5874993662000635e-06,0.0014699856833321973
75,2.1316771216106644e-06,0.0014280817453982309
76,1.9043164185461592e-06,0.0012237761432479601
77,1.4708769643334562e-06,0.0010955646043876186
78,1.1693576218618773e-06,0.001029313372564502
79,9.146401346527e-07,0.0009080370690790005
80,8.13289094558911e-07,0.0008444447892688913
81,6.162213511728964e-07,0.0007407647732179612
82,4.971843403112076e-07,0.0006790487435355317
83,4.2260899579815714e-07,0.0006030032709313673
84,3.838230734309889e-07,0.0005316194864280987
85,2.6823233583606055e-07,0.0004660897004214348
86,2.0864908758078117e-07,0.000400053699289856
87,1.7361896705203607e-07,0.00037217704841532395
88,1.3435438389830523e-07,0.000315599485009443
89,9.291310898218441e-08,0.0002790848575423297
90,7.70873331301658e-08,0.0002446159525443363
91,5.3555683041661694e-08,0.00021366844412295903
92,4.2250077905703345e-08,0.0001971033350655489
93,3.366165747864524e-08,0.00018378262053965954
94,2.6579315000052616e-08,0.00013692447483640535
95,1.5274813467414104e-08,0.00012237592960627808
96,1.6053492508799615e-08,9.800230028758961e-05
97,9.60720636211665e-09,8.463512855144017e-05
98,6.686326845528612e-09,7.413656770688703e-05
99,4.841127386329136e-09,6.756592575760578e-05
100,3.6325991109587007e-09,5.4516435774758066e-05
101,3.0340811025403315e-09,4.542149169333243e-05
102,1.602769177425599e-09,4.083998828593849e-05
103,1.2511941469353638e-09,3.206645772229422e-05
104,8.634292287135886e-10,2.804517552030461e-05
105,6.521296375128216e-10,2.1138439373658e-05
106,4.227370776002659e-10,1.845020113103146e-05
107,2.569907140044514e-10,1.4096430124084236e-05
108,2.3334555794563005e-10,1.2145963251953163e-05
109,1.282230966282577e-10,8.54996306703626e-06
110,7.34513224984819e-11,6.711621410858015e-06
111,5.957695253799856e-11,5.939317923818521e-06
112,4.051360316670305e-11,4.648051428283395e-06
113,1.7451302967812222e-11,3.5213597627645754e-06
114,1.1989164036552146e-11,2.7897593354069273e-06
115,6.819266354124876e-12,2.186277205947107e-06
116,6.704087174725509e-12,1.8583161019929406e-06
117,3.2470515643932222e-12,1.212877832841741e-06
118,1.4909911090596647e-12,9.88992298537994e-07
