Iteración,Memoria 10,Memoria 50,Memoria 100
0,0.4888678224592498,0.46579026467872403,0.49681346167940077
1,0.4801329866178106,0.45709115129528644,0.4896609693440523
2,0.481975643634796,0.4578807123502095,0.48996677917422665
3,0.48740025157639466,0.4624829667264765,0.4930087213949723
4,0.48738951450405693,0.461937814062292,0.4919952618714534
5,0.48283804027961963,0.45752951478958126,0.4878179098042575
6,0.4775197408849543,0.4521123672687647,0.4837791661204714
7,0.4714556075587417,0.44593414235837536,0.4797552841215423
8,0.46438800230893224,0.43843167176391135,0.4750437646056666
9,0.4693247552785007,0.44718537452004176,0.47933786347418134
10,0.48383579550367417,0.48192551690159413,0.513421775232662
11,0.49369541057673366,0.4866535525538705,0.5654094728195307
12,0.4945397278467814,0.4728762121923041,0.5570319710861553
13,0.4891543560172573,0.44332416193413027,0.5325627763704821
14,0.48355984292608334,0.4186119961485719,0.5181138019345022
15,0.4503091776154258,0.3767580586346713,0.4707808649792817
16,0.39163646213574843,0.3405962608348239,0.42420480080445605
17,0.3459740042903207,0.3249708526278987,0.34858254762851837
18,0.3233674039244652,0.31885221024896165,0.2928908519726811
19,0.23856639925458215,0.23036305489865216,0.23905910483996068
20,0.21108169486035003,0.21212438827843377,0.20056183084935852
21,0.2068002971347534,0.20591255711335119,0.16872138919974822
22,0.20728269414468245,0.20497335135801276,0.1464293875477531
23,0.20673734192008322,0.204592829410777,0.12058898460503777
24,0.16514655203304507,0.16059327216581865,0.08902993915297769
25,0.1615935913518523,0.15470941707311256,0.07246049326838869
26,0.1630018184397257,0.1531519391615734,0.06334988118662978
27,0.16516823956821905,0.15336655435146707,0.06286883241480049
28,0.16765023883116065,0.15439066227502896,0.07267630386352537
29,0.18756974618452968,0.17326267712574567,0.08368202408877284
30,0.19130187675938237,0.17535199794573994,0.10611115536545261
31,0.1940623222681496,0.17665902305448034,0.1466418859200044
32,0.19630558048293106,0.1777558316427114,0.17828585194457658
33,0.1986037496370122,0.1790769052525037,0.19690903988751496
34,0.2163424428800954,0.20729653628752925,0.2477363657274029
35,0.21235436192576804,0.20247440798757385,0.31867921728708526
36,0.20875440148339316,0.19710936359883988,0.2872886783065218
37,0.20544607638707205,0.1936712497839392,0.2753817750192953
38,0.20242482977183746,0.19031468177005034,0.26505774452176056
39,0.19040600529306428,0.18060908349968474,0.25130272657435504
40,0.18749878244095744,0.17668043083109505,0.21641403430926076
41,0.18605036307893097,0.17435894246299954,0.19950693202820236
42,0.18482029943439346,0.17293251457104927,0.18334886029656186
43,0.18353894887335323,0.17190778381564178,0.163045096583862
44,0.17973366301624086,0.17066009780549404,0.13977420373119862
45,0.17877935392727842,0.16995921139214537,0.13371344862165718
46,0.17735551653396203,0.16921209775663867,0.19244826147131708
47,0.1757228931845718,0.16844942699089793,0.17988049996198352
48,0.17420570695582513,0.16744894258530388,0.17399116454364166
49,0.1703194890501422,0.16192206191127123,0.15663711905949326
50,0.16900268202628133,0.16101954121905013,0.14846260324818134
51,0.1681053226369377,0.1600973002971309,0.14192419976906173
52,0.16733094429007392,0.13103951313899906,0.10870483686813287
53,0.166687290222611,0.1143672410591998,0.10326802621301902
54,0.16431466040519194,0.10710111967654029,0.099230810338371
55,0.1626022366161424,0.08639118245828004,0.07556483448378187
56,0.16096175624002254,0.0810417556692155,0.056168664854085594
57,0.15897423839100427,0.0708909495940096,0.047253007311233726
58,0.15637226614880972,0.07120458441926099,0.07094569724215752
59,0.14661833673038605,0.07133105992259849,0.0682228600327609
60,0.13485858703363085,0.07094066103702676,0.11130566945852674
61,0.11455085331541003,0.06814862521279391,0.10846593821904599
62,0.08960413454331988,0.07121895740193195,0.08865808981624969
63,0.0891089216143368,0.07252195209628254,0.07584961305015124
64,0.08502249583991617,0.07254868562406035,0.06801009455912141
65,0.0847926501276351,0.06790267998238074,0.06275519114597705
66,0.08612967219718304,0.06653863104592671,0.05880662753301581
67,0.08701979125369112,0.05471851500304815,0.052273530597434725
68,0.08752081759505247,0.05802167326464156,0.05053951498259455
69,0.06792391192959037,0.05280091562207971,0.051266980636055066
70,0.06313285920638832,0.05022731631136251,0.04610331139748372
71,0.06150437168486079,0.04827290862829825,0.04753757270949802
72,0.06055768772453865,0.04656726498336864,0.05160909661833482
73,0.05983531899952484,0.043816328919448505,0.056892369907574444
74,0.05856828436683911,0.04160022421689779,0.06422342028442853
75,0.058043734826763824,0.03969297607478183,0.07530396583395618
76,0.05766622489091481,0.04125593302988505,0.15639547190940753
77,0.057487070452329404,0.03839333841883226,0.19390122828686182
