ball_in_right_hand,ball_dist,box_size,ball_in_left_hand,box_ang,ball_ang,box_dist,ball_size,activation
0.0,0.700913112273,0.9,0.0,0.306833092618,0.340611160653,0.591458252923,0.15,1.0
0.0,0.553571429,0.9,0.0,0.306833092618,0.340611160653,0.591458252923,0.15,0.0
0.0,0.641997565722,0.9,0.0,0.306833092618,0.659388839347,0.591458252923,0.15,1.0
0.0,0.553571429,0.9,0.0,0.306833092618,0.659388839347,0.591458252923,0.15,0.0
0.0,0.824531499674,0.9,0.0,0.754234105961,0.741428341074,0.450424478063,0.15,1.0
0.0,0.553571429,0.9,0.0,0.754234105961,0.741428341074,0.450424478063,0.15,0.0
0.0,0.631259385389,0.9,0.0,0.253928262299,0.308384506633,0.633169436639,0.15,0.0
0.0,0.778953436459,0.9,0.0,0.850944470171,0.262091459128,0.577660708971,0.85,1.0
0.0,0.553571429,0.9,0.0,0.850944470171,0.262091459128,0.577660708971,0.85,0.0
0.0,0.719477872515,0.9,0.0,0.847592175766,0.33601820261,0.288723060916,0.15,1.0
0.0,0.553571429,0.9,0.0,0.847592175766,0.33601820261,0.288723060916,0.15,0.0
0.0,0.716345244118,0.9,0.0,0.479562089416,0.2885418955,0.602394703625,0.15,1.0
0.0,0.553571429,0.9,0.0,0.479562089416,0.2885418955,0.602394703625,0.15,0.0
0.0,0.747632129676,0.9,0.0,0.159410426895,0.72953522502,0.548044082196,0.15,1.0
0.0,0.825113336138,0.9,0.0,0.725486761524,0.241151145068,0.680966553162,0.85,1.0
0.0,0.553571429,0.9,0.0,0.725486761524,0.241151145068,0.680966553162,0.85,0.0
0.0,0.619263601272,0.9,0.0,0.576424425486,0.491444951538,0.380668853853,0.85,1.0
0.0,0.553571429,0.9,0.0,0.576424425486,0.491444951538,0.380668853853,0.85,0.0
0.0,0.631330214729,0.9,0.0,0.360095324477,0.488775907627,0.467948896527,0.15,1.0
0.0,0.553571429,0.9,0.0,0.360095324477,0.488775907627,0.467948896527,0.15,0.0
0.0,0.534739534178,0.9,0.0,0.152407824235,0.704390999756,0.589185667204,0.85,0.0
0.0,0.701193931847,0.9,0.0,0.109852353666,0.653650000771,0.541130198337,0.15,1.0
0.0,0.553571429,0.9,0.0,0.109852353666,0.653650000771,0.541130198337,0.15,0.0
0.0,0.618855581777,0.9,0.0,0.531043664085,0.610187150013,0.627875396349,0.85,1.0
0.0,0.553571429,0.9,0.0,0.531043664085,0.610187150013,0.627875396349,0.85,0.0
0.0,0.699031300076,0.9,0.0,0.173290576033,0.319900746494,0.552385173914,0.85,1.0
0.0,0.669659703324,0.9,0.0,0.451425459557,0.351541367101,0.620054996113,0.85,1.0
0.0,0.553571429,0.9,0.0,0.451425459557,0.351541367101,0.620054996113,0.85,0.0
0.0,0.735632208554,0.9,0.0,0.591009647139,0.230931733459,0.348735302485,0.15,1.0
0.0,0.659167859509,0.9,0.0,0.413356521803,0.369944599185,0.592678947279,0.85,1.0
0.0,0.733203634719,0.9,0.0,0.444969586684,0.753304600476,0.495519499959,0.15,1.0
0.0,0.77380952381,0.9,0.0,0.897128447765,0.727591960777,0.389454360337,0.15,1.0
0.0,0.553571429,0.9,0.0,0.897128447765,0.727591960777,0.389454360337,0.15,0.0
0.0,0.637630884861,0.9,0.0,0.601878773962,0.350953444689,0.383814089536,0.15,1.0
0.0,0.553571429,0.9,0.0,0.601878773962,0.350953444689,0.383814089536,0.15,0.0
0.0,0.638098981722,0.9,0.0,0.690689422266,0.601483824208,0.692508827673,0.85,1.0
0.0,0.553571429,0.9,0.0,0.690689422266,0.601483824208,0.692508827673,0.85,0.0
0.0,0.731476595722,0.9,0.0,0.134855477853,0.683917390149,0.380136806494,0.85,1.0
0.0,0.553571429,0.9,0.0,0.134855477853,0.683917390149,0.380136806494,0.85,0.0
0.0,0.717044752353,0.9,0.0,0.287136088793,0.193704176039,0.59585786604,0.15,1.0
0.0,0.553571429,0.9,0.0,0.287136088793,0.193704176039,0.59585786604,0.15,0.0
0.0,0.743883399812,0.9,0.0,0.731031181231,0.782953178854,0.615510919917,0.15,1.0
0.0,0.462734818801,0.9,0.0,0.252899634124,0.621806725307,0.852668316507,0.85,0.0
0.0,0.681055123788,0.9,0.0,0.136290368118,0.233387279768,0.388303388985,0.15,1.0
0.0,0.623689321777,0.9,0.0,0.777777777778,0.559807324447,0.453372156199,0.85,1.0
0.0,0.553571429,0.9,0.0,0.777777777778,0.559807324447,0.453372156199,0.85,0.0
0.0,0.680700782432,0.9,0.0,0.67197315244,0.781500562929,0.352244148019,0.85,1.0
0.0,0.553571429,0.9,0.0,0.67197315244,0.781500562929,0.352244148019,0.85,0.0
0.0,0.620893429349,0.9,0.0,0.301366319712,0.62189405312,0.506858753222,0.15,1.0
0.0,0.553571429,0.9,0.0,0.301366319712,0.62189405312,0.506858753222,0.15,0.0
0.0,0.673357156808,0.9,0.0,0.343876412611,0.24101715089,0.48004703048,0.85,1.0
0.0,0.553571429,0.9,0.0,0.343876412611,0.24101715089,0.48004703048,0.85,0.0
0.0,0.706532813065,0.9,0.0,0.266492050403,0.714328890098,0.521518182791,0.15,1.0
0.0,0.553571429,0.9,0.0,0.266492050403,0.714328890098,0.521518182791,0.15,0.0
0.0,0.753032055743,0.9,0.0,0.286467353781,0.762410167148,0.51002077216,0.15,1.0
0.0,0.650284666466,0.9,0.0,0.202808904539,0.294313483506,0.264546273469,0.15,1.0
0.0,0.553571429,0.9,0.0,0.202808904539,0.294313483506,0.264546273469,0.15,0.0
0.0,0.671275264824,0.9,0.0,0.591935018265,0.809842153751,0.459926618549,0.85,0.0
0.0,0.713030517273,0.9,0.0,0.714542670084,0.314506706044,0.235955894077,0.15,1.0
0.0,0.553571429,0.9,0.0,0.714542670084,0.314506706044,0.235955894077,0.15,0.0
0.0,0.595337294699,0.9,0.0,0.166373012346,0.505894081814,0.550085785044,0.15,1.0
0.0,0.553571429,0.9,0.0,0.166373012346,0.505894081814,0.550085785044,0.15,0.0
0.0,0.594766709536,0.9,0.0,0.313231869361,0.601669311356,0.542497332831,0.15,0.0
0.0,0.683486985429,0.9,0.0,0.61816214933,0.8074910549,0.643345267745,0.15,1.0
0.0,0.553571429,0.9,0.0,0.61816214933,0.8074910549,0.643345267745,0.15,0.0
0.0,0.615004286165,0.9,0.0,0.247088047324,0.448191819831,0.480106168198,0.15,1.0
0.0,0.553571429,0.9,0.0,0.247088047324,0.448191819831,0.480106168198,0.15,0.0
0.0,0.666869562548,0.9,0.0,0.254943990843,0.368407948917,0.700999528538,0.15,1.0
0.0,0.763030169183,0.9,0.0,0.473257321091,0.303953826637,0.274935255795,0.15,1.0
0.0,0.553571429,0.9,0.0,0.473257321091,0.303953826637,0.274935255795,0.15,0.0
0.0,0.625,0.9,0.0,0.491375425757,0.5,0.613312975753,0.15,1.0
0.0,0.553571429,0.9,0.0,0.491375425757,0.5,0.613312975753,0.15,0.0
0.0,0.709937636122,0.9,0.0,0.883350178822,0.283583784155,0.338937715754,0.15,1.0
0.0,0.720428043348,0.9,0.0,0.493451162406,0.735115881982,0.202436062295,0.85,1.0
0.0,0.553571429,0.9,0.0,0.493451162406,0.735115881982,0.202436062295,0.85,0.0
0.0,0.676458644548,0.9,0.0,0.67732179423,0.77964907064,0.586880670913,0.15,1.0
0.0,0.60023056852,0.9,0.0,0.726136505407,0.438222346905,0.459528708582,0.15,1.0
0.0,0.553571429,0.9,0.0,0.726136505407,0.438222346905,0.459528708582,0.15,0.0
0.0,0.638590172166,0.9,0.0,0.0950582464455,0.259623381012,0.514957797712,0.15,0.0
0.0,0.666689213241,0.9,0.0,0.163812825876,0.730271285667,0.495404185741,0.15,1.0
0.0,0.631542662647,0.9,0.0,0.678490273714,0.485972532514,0.594965225657,0.15,1.0
0.0,0.553571429,0.9,0.0,0.678490273714,0.485972532514,0.594965225657,0.15,0.0
0.0,0.659964197571,0.9,0.0,0.177952394041,0.260515110504,0.521518182791,0.15,1.0
0.0,0.744375963817,0.9,0.0,0.297533757577,0.706610890584,0.199613305103,0.15,1.0
0.0,0.553571429,0.9,0.0,0.297533757577,0.706610890584,0.199613305103,0.15,0.0
0.0,0.708076356119,0.9,0.0,0.4046523681,0.710787093455,0.350285446139,0.15,1.0
0.0,0.553571429,0.9,0.0,0.4046523681,0.710787093455,0.350285446139,0.15,0.0
0.0,0.792366677751,0.9,0.0,0.181900390816,0.286270647654,0.435930113341,0.85,1.0
0.0,0.67295463707,0.9,0.0,0.308275254138,0.237263260783,0.492427355085,0.15,1.0
0.0,0.603645952068,0.9,0.0,0.309588966592,0.470836717919,0.380136806494,0.15,1.0
0.0,0.553571429,0.9,0.0,0.309588966592,0.470836717919,0.380136806494,0.15,0.0
0.0,0.802418634642,0.9,0.0,0.182246144825,0.269209491337,0.664612213039,0.85,1.0
0.0,0.659964197571,0.9,0.0,0.24805503781,0.260515110504,0.227010520327,0.15,1.0
0.0,0.553571429,0.9,0.0,0.24805503781,0.260515110504,0.227010520327,0.15,0.0
0.0,0.722914510004,0.9,0.0,0.168233566281,0.78485038789,0.323835124708,0.15,1.0
0.0,0.553571429,0.9,0.0,0.168233566281,0.78485038789,0.323835124708,0.15,0.0
0.0,0.650284666466,0.9,0.0,0.702412840997,0.338465759741,0.617341538212,0.15,1.0
0.0,0.68353113289,0.9,0.0,0.781500562929,0.699232372312,0.280826581692,0.15,1.0
0.0,0.784087666871,0.9,0.0,0.775269467695,0.713135627507,0.474431926111,0.15,1.0
0.0,0.701647360487,0.9,0.0,0.640212421933,0.284210022442,0.435898191467,0.85,1.0
0.0,0.662076236982,0.9,0.0,0.449368183675,0.683276089581,0.548495384909,0.15,1.0
0.0,0.553571429,0.9,0.0,0.449368183675,0.683276089581,0.548495384909,0.15,0.0
0.0,0.622925679944,0.9,0.0,0.322304825247,0.624564559658,0.498997585839,0.15,1.0
