ball_in_right_hand,ball_dist,box_size,ball_in_left_hand,box_ang,ball_ang,box_dist,ball_size,activation
0.0,0.714306972518,0.9,0.0,0.243848960771,0.329239269581,0.707454997986,0.85,1.0
0.0,0.553571429,0.9,0.0,0.243848960771,0.329239269581,0.707454997986,0.85,0.0
0.0,0.707454997986,0.9,0.0,0.243848960771,0.243848960771,0.707454997986,0.85,1.0
0.0,0.553571429,0.9,0.0,0.243848960771,0.243848960771,0.707454997986,0.85,0.0
0.0,0.248460691439,0.9,0.0,0.733373641634,0.653733140791,0.317915527434,0.15,0.0
0.0,0.719055228591,0.9,0.0,0.27858133631,0.726084820818,0.358406062623,0.85,1.0
0.0,0.553571429,0.9,0.0,0.27858133631,0.726084820818,0.358406062623,0.85,0.0
0.0,0.75435146712,0.9,0.0,0.438576378469,0.712643151197,0.569887442678,0.15,1.0
0.0,0.553571429,0.9,0.0,0.438576378469,0.712643151197,0.569887442678,0.15,0.0
0.0,0.715071908051,0.9,0.0,0.186764454792,0.696761498467,0.59585786604,0.15,1.0
0.0,0.553571429,0.9,0.0,0.186764454792,0.696761498467,0.59585786604,0.15,0.0
0.0,0.571531191061,0.9,0.0,0.909875371185,0.493902713582,0.550006354825,0.85,1.0
0.0,0.553571429,0.9,0.0,0.909875371185,0.493902713582,0.550006354825,0.85,0.0
0.0,0.569836012342,0.9,0.0,0.167465704588,0.577006850076,0.617918683483,0.85,0.0
0.0,0.475356558706,0.9,0.0,0.608951384074,0.297930702024,0.293216537403,0.85,0.0
0.0,0.77913096745,0.9,0.0,0.133948904634,0.756218560735,0.323995096808,0.85,1.0
0.0,0.553571429,0.9,0.0,0.133948904634,0.756218560735,0.323995096808,0.85,0.0
0.0,0.720322521927,0.9,0.0,0.734617744774,0.754705990473,0.779939276097,0.15,1.0
0.0,0.553571429,0.9,0.0,0.734617744774,0.754705990473,0.779939276097,0.15,0.0
0.0,0.722788256716,0.9,0.0,0.622747932801,0.218685563594,0.475952333314,0.15,1.0
0.0,0.553571429,0.9,0.0,0.622747932801,0.218685563594,0.475952333314,0.15,0.0
0.0,0.647054102705,0.9,0.0,0.670654168912,0.385335034502,0.304283437778,0.15,1.0
0.0,0.553571429,0.9,0.0,0.670654168912,0.385335034502,0.304283437778,0.15,0.0
0.0,0.646614618582,0.9,0.0,0.248567242595,0.312638118965,0.729307632397,0.15,1.0
0.0,0.553571429,0.9,0.0,0.248567242595,0.312638118965,0.729307632397,0.15,0.0
0.0,0.716408859977,0.9,0.0,0.689046498264,0.29762789589,0.745606146217,0.15,1.0
0.0,0.606093113247,0.9,0.0,0.679980974582,0.561273120412,0.528477321594,0.15,1.0
0.0,0.553571429,0.9,0.0,0.679980974582,0.561273120412,0.528477321594,0.15,0.0
0.0,0.691722604881,0.9,0.0,0.578639795016,0.731746573209,0.582752988654,0.15,1.0
0.0,0.580452121211,0.9,0.0,0.743381495037,0.533154288244,0.574500555411,0.85,1.0
0.0,0.553571429,0.9,0.0,0.743381495037,0.533154288244,0.574500555411,0.85,0.0
