iteration,seconds
0,0.2014026641845703
1,1.5698015689849854
2,2.0219054222106934
3,1.9108905792236328
4,1.9070477485656738
5,1.516860008239746
6,1.6286449432373047
7,1.9388153553009033
8,1.766719102859497
9,1.702010154724121
10,1.5299363136291504
11,1.4730584621429443
12,1.7802155017852783
13,1.873988389968872
14,1.8769803047180176
15,1.6745216846466064
16,1.4860267639160156
17,1.784254550933838
18,2.0435097217559814
19,1.7942287921905518
20,1.4221701622009277
21,1.405242919921875
22,1.4311738014221191
23,1.8809683322906494
24,1.8636796474456787
25,1.4202024936676025
26,1.659562349319458
27,1.668633222579956
28,1.8181374073028564
29,1.885957956314087
30,1.2965314388275146
31,1.3942720890045166
32,1.6356525421142578
33,1.6435790061950684
34,1.610698938369751
35,1.5897421836853027
36,1.567807912826538
37,1.4860258102416992
38,1.7363569736480713
39,1.6015312671661377
40,1.3304715156555176
41,1.4979658126831055
42,1.6323645114898682
43,1.7611513137817383
44,1.6765427589416504
45,1.5957353115081787
46,1.6146812438964844
47,1.5009589195251465
48,1.5309064388275146
49,1.7213964462280273
50,1.760293960571289
51,1.7447450160980225
52,1.4370176792144775
53,1.5399158000946045
54,1.782226800918579
55,1.6526145935058594
56,1.7314155101776123
57,1.6595356464385986
58,1.6226611137390137
59,1.711146354675293
60,1.7523152828216553
61,1.790212869644165
62,1.4541382789611816
63,1.6396987438201904
64,1.4272124767303467
65,1.4889216423034668
66,1.7408881187438965
67,1.6395902633666992
68,1.6815271377563477
69,1.7068028450012207
70,1.7787799835205078
71,1.7911112308502197
72,1.3773791790008545
73,1.7273540496826172
74,1.702472448348999
75,1.8250234127044678
76,1.7421550750732422
77,1.658539056777954
78,1.680532455444336
79,1.783245325088501
80,1.9886412620544434
81,1.7662765979766846
82,1.8400793075561523
83,1.9078989028930664
84,1.9647719860076904
85,1.8191092014312744
86,1.7583248615264893
87,1.8530445098876953
88,1.8431556224822998
89,1.7862670421600342
90,1.776252269744873
91,1.7912113666534424
92,2.074451446533203
93,1.9607822895050049
94,1.8709709644317627
95,1.900916576385498
96,2.00364351272583
97,1.9258489608764648
98,1.8111565113067627
99,1.6967904567718506
100,1.688511848449707
101,1.9328052997589111
102,1.9637489318847656
103,1.9179067611694336
104,1.5209224224090576
105,1.792182207107544
106,1.756302833557129
107,1.7451410293579102
108,1.7627434730529785
109,1.4328563213348389
110,1.6858150959014893
111,1.574815273284912
112,1.577754020690918
113,1.521955966949463
114,1.5787522792816162
115,1.7633111476898193
116,1.6376216411590576
117,1.4790489673614502
118,1.5687823295593262
119,1.7722523212432861
120,1.9677388668060303
121,2.025381088256836
122,1.9507830142974854
123,1.7862238883972168
124,1.943831205368042
125,2.1838343143463135
126,2.21405291557312
127,2.0195984840393066
128,1.645625352859497
129,1.7423157691955566
130,1.750319480895996
131,1.8650383949279785
132,1.831078052520752
133,1.690478801727295
134,1.7233927249908447
135,1.5707981586456299
136,1.5249497890472412
137,1.4580976963043213
138,1.7104017734527588
139,1.666543960571289
140,1.7182495594024658
141,1.7024898529052734
142,1.7672739028930664
143,2.19260311126709
144,1.9138059616088867
145,1.8386809825897217
146,2.0712685585021973
147,1.784667730331421
148,1.8498570919036865
149,1.7604968547821045
150,2.0398032665252686
151,2.258559465408325
152,1.8274381160736084
153,1.4912421703338623
154,1.8319692611694336
155,2.040189504623413
156,1.8396952152252197
157,1.5913913249969482
158,1.7491638660430908
159,1.8578219413757324
160,1.795243263244629
161,1.7344505786895752
162,1.6964693069458008
163,1.771366834640503
164,1.825986385345459
165,1.930607557296753
166,1.7350313663482666
167,1.7888271808624268
168,1.7819714546203613
169,1.7230501174926758
170,2.0357232093811035
171,1.8256640434265137
172,1.736093521118164
173,2.0394175052642822
174,2.0682766437530518
175,1.808419942855835
176,1.9524354934692383
177,1.8612422943115234
178,2.007795572280884
179,1.6768162250518799
180,1.6649339199066162
181,1.603203296661377
182,1.7290384769439697
183,1.8707208633422852
184,1.796983242034912
185,1.867002248764038
186,1.8018519878387451
187,1.8961126804351807
188,1.9691267013549805
189,2.012387990951538
190,1.9484236240386963
191,1.7643482685089111
192,1.9420263767242432
193,2.1513397693634033
194,1.7459452152252197
195,2.039320230484009
196,2.1140642166137695
197,2.071352005004883
198,1.815540075302124
199,1.6118483543395996
200,2.0076537132263184
201,1.9383628368377686
202,1.989492654800415
203,1.9471006393432617
204,1.8345003128051758
205,1.76320481300354
206,1.983292818069458
207,1.9495489597320557
208,1.7788071632385254
209,1.8477520942687988
210,1.8731520175933838
211,1.9440653324127197
212,1.8260934352874756
213,2.146958827972412
214,2.027956962585449
215,1.7520618438720703
216,1.8115684986114502
217,1.9127395153045654
218,1.9893081188201904
219,1.8588542938232422
220,1.7905540466308594
221,2.01475191116333
222,1.9437642097473145
223,1.7656528949737549
224,1.6446571350097656
225,1.7219955921173096
226,2.0506832599639893
227,2.0251545906066895
228,2.1226987838745117
229,2.0150723457336426
230,1.809403896331787
231,1.8896198272705078
232,1.8306303024291992
233,2.1681370735168457
234,2.1971595287323
235,2.3760969638824463
236,2.181563138961792
237,2.2980542182922363
238,1.961066484451294
239,1.9033410549163818
240,2.104936361312866
241,1.9949159622192383
242,2.0953166484832764
243,2.2161803245544434
244,1.989328384399414
245,1.6930699348449707
246,2.0131113529205322
247,1.963090419769287
248,1.9093942642211914
249,1.865495204925537
