ball_in_right_hand,ball_dist,box_size,ball_in_left_hand,box_ang,ball_ang,box_dist,ball_size,activation
0.0,0.700913112273,0.9,0.0,-0.386333814764,-0.318777678694,0.591458252923,0.15,1.0
0.0,0.553571429,0.9,0.0,-0.386333814764,-0.318777678694,0.591458252923,0.15,-1.0
0.0,0.641997565722,0.9,0.0,-0.386333814764,0.318777678694,0.591458252923,0.15,1.0
0.0,0.553571429,0.9,0.0,-0.386333814764,0.318777678694,0.591458252923,0.15,-1.0
0.0,0.824531499674,0.9,0.0,0.508468211922,0.482856682148,0.450424478063,0.15,1.0
0.0,0.553571429,0.9,0.0,0.508468211922,0.482856682148,0.450424478063,0.15,-1.0
0.0,0.631259385389,0.9,0.0,-0.492143475402,-0.383230986734,0.633169436639,0.15,-1.0
0.0,0.778953436459,0.9,0.0,0.701888940343,-0.475817081744,0.577660708971,0.85,1.0
0.0,0.553571429,0.9,0.0,0.701888940343,-0.475817081744,0.577660708971,0.85,-1.0
0.0,0.719477872515,0.9,0.0,0.695184351531,-0.327963594779,0.288723060916,0.15,1.0
0.0,0.553571429,0.9,0.0,0.695184351531,-0.327963594779,0.288723060916,0.15,-1.0
0.0,0.716345244118,0.9,0.0,-0.040875821168,-0.422916209,0.602394703625,0.15,1.0
0.0,0.553571429,0.9,0.0,-0.040875821168,-0.422916209,0.602394703625,0.15,-1.0
0.0,0.747632129676,0.9,0.0,-0.68117914621,0.45907045004,0.548044082196,0.15,1.0
0.0,0.825113336138,0.9,0.0,0.450973523049,-0.517697709863,0.680966553162,0.85,1.0
0.0,0.553571429,0.9,0.0,0.450973523049,-0.517697709863,0.680966553162,0.85,-1.0
0.0,0.619263601272,0.9,0.0,0.152848850973,-0.0171100969236,0.380668853853,0.85,1.0
0.0,0.553571429,0.9,0.0,0.152848850973,-0.0171100969236,0.380668853853,0.85,-1.0
0.0,0.631330214729,0.9,0.0,-0.279809351046,-0.0224481847463,0.467948896527,0.15,1.0
0.0,0.553571429,0.9,0.0,-0.279809351046,-0.0224481847463,0.467948896527,0.15,-1.0
0.0,0.534739534178,0.9,0.0,-0.695184351531,0.408781999511,0.589185667204,0.85,-1.0
0.0,0.701193931847,0.9,0.0,-0.780295292667,0.307300001542,0.541130198337,0.15,1.0
0.0,0.553571429,0.9,0.0,-0.780295292667,0.307300001542,0.541130198337,0.15,-1.0
