ball_in_right_hand,ball_dist,box_size,ball_in_left_hand,box_ang,ball_ang,box_dist,ball_size,activation
1.0,0.158639455988,0.9,1.0,0.521897395137,0.0,0.765837425436,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.727661619386,0.0,0.492427355085,0.15,-1.0
0.0,0.414014599458,0.9,0.0,-0.468785231618,0.363301930904,0.190533419618,0.15,-1.0
1.0,0.25172408339,0.9,1.0,0.229973619462,0.0,0.440001064735,0.15,-1.0
1.0,0.327380952381,0.9,1.0,-0.388255744112,0.0,0.725204824365,0.15,1.0
1.0,0.320139684421,0.9,1.0,0.0533958078363,0.0,0.591308635989,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.499336197788,0.0,0.835191639398,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.447030331076,0.0,0.707197747593,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.573688897708,0.0,0.537767344006,0.15,-1.0
1.0,0.327380952381,0.9,1.0,0.619009350358,0.0,0.679658995571,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.441839178508,0.0,0.512017060986,0.15,-1.0
1.0,0.327380952381,0.9,1.0,0.633016476013,0.0,0.689709896417,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.249427347757,0.0,0.673781817048,0.15,1.0
1.0,0.297151097772,0.9,1.0,0.524820334296,-0.205194529801,0.753032055743,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.465007669118,0.0,0.738177906066,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.0285644752818,0.0,0.470718899572,0.15,-1.0
1.0,0.327380952381,0.9,1.0,-0.0398890111157,0.0,0.620222758832,0.15,1.0
1.0,0.217037957464,0.9,1.0,0.526099456415,0.0,0.689775607213,0.15,1.0
1.0,0.302396085281,0.9,1.0,0.580427145529,0.0,0.719055228591,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.491426803608,0.0,0.62478568342,0.15,-1.0
0.0,0.375895631095,0.9,0.0,0.623796791996,0.0425603315045,0.274215158551,0.15,-1.0
1.0,0.308572025135,0.9,1.0,0.294190734296,0.0,0.661804036768,0.15,1.0
0.0,0.647169714525,0.9,0.0,-0.440558274638,0.540011787566,0.687077072387,0.15,-1.0
1.0,0.327380952381,0.9,1.0,-0.440558274638,0.0,0.687077072387,0.15,1.0
0.0,0.327380952381,0.9,0.0,-0.148034999741,0.0,0.568574767503,0.15,-1.0
1.0,0.327380952381,0.9,1.0,-0.148034999741,0.0,0.568574767503,0.15,-1.0
1.0,0.327380952381,0.9,1.0,-0.1761050901,0.0,0.60567767882,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.365158502238,0.0,0.64066835903,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.149769395884,0.0,0.532405057337,0.15,-1.0
1.0,0.327380952381,0.9,1.0,0.166613991121,0.0,0.646128579297,0.85,1.0
1.0,0.227726468182,0.9,1.0,0.353215551432,0.0,0.701366696116,0.85,1.0
0.0,0.357291643422,0.9,0.0,0.660873649506,0.0176801998045,0.561921411718,0.15,-1.0
1.0,0.327380952381,0.9,1.0,-0.47881930988,0.0,0.736191669317,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.576354127381,0.0,0.739953343153,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.069250301808,0.0,0.550826679581,0.85,-1.0
1.0,0.317915527434,0.9,1.0,0.438736762864,0.0,0.802630088136,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.260916541733,0.0,0.640365158327,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.0,0.0,0.589285714286,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.473343120171,0.0,0.715751262322,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.0757064505886,0.0,0.605335377456,0.85,1.0
1.0,0.327380952381,0.9,1.0,-0.390873470329,0.0,0.720132549932,0.15,1.0
1.0,0.184757146552,0.9,1.0,-0.0789431822868,0.0,0.575751043448,0.15,-1.0
0.0,0.327380952381,0.9,0.0,-0.0789431822868,0.0,0.575751043448,0.15,-1.0
1.0,0.327380952381,0.9,1.0,-0.0789431822868,0.0,0.575751043448,0.15,-1.0
1.0,0.327380952381,0.9,1.0,-0.388019328578,0.0,0.759911677191,0.15,1.0
0.0,0.629652123075,0.9,0.0,-0.552138406763,0.358152595836,0.752219117161,0.15,-1.0
1.0,0.327380952381,0.9,1.0,-0.552138406763,0.0,0.752219117161,0.15,1.0
1.0,0.313187055706,0.9,1.0,0.323232191746,0.0,0.67690390724,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.437665013225,0.0,0.794327733777,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.625690010098,0.0,0.688833241761,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.45081083784,0.0,0.651205196003,0.15,-1.0
1.0,0.327380952381,0.9,1.0,0.121553362566,0.0,0.61195710996,0.85,1.0
1.0,0.219349295323,0.9,1.0,0.421883295015,0.0,0.665154569525,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.267215248651,0.0,0.687845866801,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.0119879250751,0.0,0.583434213902,0.15,1.0
1.0,0.2725900988,0.9,1.0,-0.410411430395,0.0,0.727886460796,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.171759193537,0.0,0.549370573268,0.85,-1.0
1.0,0.327380952381,0.9,1.0,0.395680808972,0.0,0.688570059803,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.384779909211,0.0,0.743554867551,0.85,1.0
1.0,0.327380952381,0.9,1.0,-0.527830338693,0.0,0.740242020601,0.85,1.0
1.0,0.327380952381,0.9,1.0,-0.41592675958,0.0,0.717955355614,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.0129775401178,0.0,0.52987111357,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.369797631701,0.0,0.691613346963,0.85,1.0
1.0,0.203096645898,0.9,1.0,-0.321028961043,0.0,0.695559147235,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.445815524958,0.0,0.779840740787,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.489542202465,0.0,0.739107372001,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.552203185856,0.0,0.769054800175,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.0186103180096,0.0,0.559758731265,0.15,1.0
1.0,0.226651990375,0.9,1.0,0.512837244087,-0.0365547670884,0.787533415574,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.257462444933,0.0,0.68353113289,0.85,1.0
1.0,0.327380952381,0.9,1.0,-0.521897395137,0.0,0.765837425436,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.659171915894,0.0,0.659532000831,0.15,-1.0
1.0,0.327380952381,0.9,1.0,-0.188334798803,0.0,0.627495814053,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.0776159674288,0.0,0.587582987464,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.566326631147,0.0,0.710215399659,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.217439232629,0.0,0.667838231889,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.622368754967,0.0,0.684237162278,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.0412156857255,0.0,0.596452340941,0.15,1.0
1.0,0.208495630767,0.9,1.0,-0.448479332742,0.0,0.634557661167,0.15,-1.0
1.0,0.184757146552,0.9,1.0,-0.643994413158,0.0,0.657253315249,0.15,-1.0
1.0,0.327380952381,0.9,1.0,-0.643994413158,0.0,0.657253315249,0.15,-1.0
1.0,0.327380952381,0.9,1.0,0.506737682524,0.0,0.796478108759,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.138504225695,0.0,0.61522145772,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.152157128817,0.0,0.605995385385,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.362723553843,0.0,0.693839302604,0.85,1.0
1.0,0.327380952381,0.9,1.0,-0.633829527727,0.0,0.681342910631,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.537606228826,0.0,0.710386284833,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.521897395137,0.0,0.677348920987,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.44372977619,0.0,0.763210904312,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.42364305679,0.0,0.788997801215,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.354812287552,0.0,0.722746168079,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.495640785346,0.0,0.776464307158,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.602166244744,0.0,0.711922670021,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.591250241929,0.0,0.715390424232,0.85,1.0
1.0,0.327380952381,0.9,1.0,-0.434329621744,0.0,0.769433721764,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.394619299135,0.0,0.757974663395,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.157279590031,0.0,0.582752988654,0.15,-1.0
1.0,0.327380952381,0.9,1.0,0.473154703122,0.0,0.677638046624,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.080818404732,0.0,0.611908639667,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.498519463189,0.0,0.717044752353,0.85,1.0
1.0,0.327380952381,0.9,1.0,-0.127714289895,0.0,0.643345267745,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.22240362862,0.0,0.650837116266,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.477281583384,0.0,0.719456745378,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.174639450544,0.0,0.635990260497,0.85,1.0
1.0,0.284179513201,0.9,1.0,-0.364090886459,0.0,0.715241798481,0.85,1.0
1.0,0.327380952381,0.9,1.0,-0.353215551432,0.0,0.701366696116,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.106189936527,0.0,0.597343128344,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.539108396866,0.0,0.786125376532,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.621078109251,0.0,0.654510032268,0.15,-1.0
1.0,0.327380952381,0.9,1.0,0.425286302393,0.0,0.75435146712,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.436857169495,0.0,0.66216694931,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.522249313169,0.0,0.685757430514,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.406516822879,0.0,0.625571209311,0.85,-1.0
1.0,0.158639455988,0.9,1.0,0.406516822879,0.0,0.625571209311,0.85,-1.0
1.0,0.327380952381,0.9,1.0,-0.222136886642,0.0,0.613192018381,0.85,1.0
