1;0.291293;0.528951
2;0.280015;0.526345
2;0.270581;0.522387
4;0.257151;0.516976
3;0.241954;0.510567
6;0.241741;0.503238
4;0.229538;0.493880
8;0.198072;0.482883
5;0.155516;0.470746
10;0.169771;0.456382
6;0.130923;0.441243
12;0.125332;0.427580
7;0.204498;0.416377
14;0.215202;0.408514
8;0.203879;0.404023
16;0.190562;0.401778
9;0.161467;0.400080
18;0.137131;0.398567
10;0.195151;0.398441
20;0.190731;0.399409
11;0.206320;0.400641
22;0.214497;0.401713
12;0.200754;0.402414
24;0.216212;0.403081
13;0.224669;0.404077
26;0.233065;0.405662
14;0.232543;0.407059
28;0.227101;0.408117
15;0.217869;0.409174
30;0.204641;0.409854
16;0.228038;0.410064
32;0.219340;0.410330
17;0.217119;0.410805
34;0.233502;0.411366
18;0.237910;0.412037
36;0.246066;0.412868
19;0.212232;0.413074
38;0.216775;0.412374
20;0.211581;0.411200
40;0.224607;0.409565
21;0.195322;0.408099
42;0.204746;0.406803
22;0.199608;0.405301
44;0.192117;0.403551
23;0.214839;0.402047
46;0.197627;0.400728
24;0.199575;0.399182
48;0.190209;0.397570
25;0.204272;0.396146
50;0.196756;0.394768
26;0.203487;0.393324
52;0.185000;0.391926
27;0.194329;0.390961
54;0.176031;0.389776
28;0.224981;0.388345
56;0.213342;0.386862
29;0.217989;0.385886
58;0.202405;0.385262
30;0.231278;0.384468
60;0.205121;0.383638
31;0.192884;0.382881
62;0.198522;0.381936
32;0.196895;0.380819
64;0.202109;0.379616
33;0.188281;0.378676
66;0.178785;0.377687
34;0.183504;0.376456
68;0.206876;0.375254
35;0.188569;0.374171
70;0.176767;0.373102
36;0.187769;0.371959
72;0.186291;0.371555
37;0.225060;0.371045
74;0.183944;0.369956
38;0.196086;0.369040
76;0.172966;0.368024
39;0.188405;0.366884
78;0.197309;0.366142
40;0.172293;0.365432
80;0.182757;0.364438
41;0.180869;0.363508
82;0.193101;0.362662
42;0.197169;0.361778
84;0.170633;0.360984
43;0.171864;0.360089
86;0.159689;0.359046
44;0.176006;0.358223
88;0.177249;0.357512
45;0.183141;0.356848
90;0.166354;0.356226
46;0.158838;0.355721
92;0.188364;0.355319
47;0.170091;0.354857
94;0.182968;0.354425
48;0.176990;0.353999
96;0.191448;0.353563
49;0.192216;0.353250
98;0.154310;0.352658
50;0.153586;0.351883
100;0.161191;0.351169
51;0.165854;0.350439
102;0.190061;0.349765
52;0.140892;0.349386
104;0.171220;0.348831
53;0.137838;0.348053
106;0.202678;0.347513
54;0.196533;0.347249
108;0.153421;0.346938
55;0.138191;0.346650
110;0.143705;0.346145
56;0.141034;0.345179
112;0.135162;0.344812
57;0.175552;0.344647
114;0.124205;0.344041
58;0.113891;0.343397
116;0.127025;0.342768
59;0.147295;0.342269
118;0.163818;0.341710
60;0.108977;0.341189
120;0.162377;0.340663
61;0.147368;0.339970
122;0.152387;0.339306
62;0.128925;0.338689
124;0.124728;0.338068
63;0.130983;0.337274
126;0.129991;0.336583
64;0.143584;0.336049
128;0.124798;0.335490
65;0.157743;0.334990
130;0.125805;0.334414
66;0.143713;0.333861
132;0.151607;0.333230
67;0.106746;0.332600
134;0.149680;0.332008
68;0.116506;0.331351
136;0.104891;0.330565
69;0.141057;0.329683
138;0.151609;0.329026
70;0.135652;0.328520
140;0.133011;0.327933
71;0.107078;0.327621
142;0.125204;0.327459
72;0.135110;0.326941
144;0.114054;0.326154
73;0.090688;0.325503
146;0.081289;0.325223
74;0.120977;0.324840
148;0.134676;0.324131
75;0.125879;0.323423
150;0.094742;0.322801
76;0.098634;0.322233
152;0.111690;0.321517
77;0.108673;0.321050
154;0.125101;0.320596
78;0.140169;0.320104
